estacion,estado,latitud,longitud,msnm,TEMPERATURA_CELSIUS,VELOCIDAD_MEDIA_DIARIA_VIENTO_MILLAS_POR_HORA,DIRECCION_VIENTO_MAS_RAPIDA_5_SEC_GRADOS,VELOCIDAD_VIENTO_MAS_RAPIDA_5_SEC_MILLAS_POR_HORA,PRECIPITACION_mm,mes,dia,rango_estacion
3,,29.6919,-82.2756,37.5,22.299999999999997,-0.6484947785951162,270.0,17.0,0.0,-0.3246711778803988,1,1.4332456293189315
3,,29.6919,-82.2756,37.5,20.4,2.1676342609386974,270.0,44.96,0.05,0.08012551139504238,5,1.4332456293189315
3,,29.6919,-82.2756,37.5,22.600000000000005,-0.03545988563537432,270.0,38.92,2.02,0.08012551139504238,24,1.4332456293189315
3,,29.6919,-82.2756,37.5,22.199999999999996,0.45442067614941933,270.0,34.0,0.0,0.08012551139504238,25,1.4332456293189315
3,,29.6919,-82.2756,37.5,23.8,-0.8318578939000388,270.0,19.01,0.0,0.08012551139504238,27,1.4332456293189315
3,,29.6919,-82.2756,37.5,25.900000000000002,0.5146294602793936,270.0,21.03,0.0,0.08012551139504238,28,1.4332456293189315
3,,29.6919,-82.2756,37.5,24.099999999999998,-0.9550122250749871,270.0,23.04,0.37,0.4849222006704836,16,1.4332456293189315
1,,29.1828,-81.0483,9.4,19.200000000000003,-1.0781665562499352,270.0,19.01,0.0,-1.5390612457067223,18,-0.13143960268877047
1,,29.1828,-81.0483,9.4,16.6,0.6979925755843164,270.0,25.95,0.0,-1.5390612457067223,24,-0.13143960268877047
1,,29.1828,-81.0483,9.4,16.900000000000002,-1.2615296715548578,270.0,16.11,0.0,-1.1342645564312812,3,-0.13143960268877047
1,,29.1828,-81.0483,9.4,22.9,1.248081921499085,270.0,29.08,0.0,-1.1342645564312812,9,-0.13143960268877047
1,,29.1828,-81.0483,9.4,19.899999999999995,0.637783791454342,270.0,25.95,0.17,-0.72946786715584,2,-0.13143960268877047
